Gene,P,Number of variants
MITD1,0.077418693,3
RAPSN,0.077682362,2
TSPAN17,0.077759185,3
C17orf53,0.077768367,7
AKT1,0.077965974,3
HS2ST1,0.077983698,3
OXSM,0.078056714,5
FXN,0.0780633,3
CD86,0.078111602,3
PTCD3,0.078115662,10
SMURF2,0.07818409,4
STAB2,0.078284823,32
RNPEP,0.07834566,11
ZSWIM2,0.078349277,7
CD40,0.078354456,2
CDC42BPB,0.078415942,9
CSN3,0.078424148,4
IGSF10,0.078665472,27
NIPAL1,0.078674904,9
ARHGAP35,0.078685062,3
GALK2,0.078726211,3
DDX20,0.078935728,10
C10orf55,0.079056086,5
PLAU,0.079056086,5
DPEP2,0.079074752,6
DDX58,0.079087488,6
MGP,0.079096639,2
SDPR,0.079196235,2
CEP164,0.079273107,15
CD83,0.079498926,2
SLC38A10,0.079651128,10
NFKBIB,0.079780097,5
NBPF7,0.079896727,3
SIGLEC11,0.079934531,4
CRB1,0.080025108,15
G6PC2,0.080229732,8
FBXL13,0.080272556,10
DOK1,0.080424144,5
SACM1L,0.080428489,2
MTNR1B,0.08069509,3
NOP58,0.080717207,4
LDLRAD2,0.080805,5
AKAP11,0.080808638,15
CSGALNACT1,0.080823019,10
ZNF839,0.080924904,11
FBLN2,0.081063813,15
TMEM156,0.081089894,3
STAT1,0.081176779,2
C8orf48,0.081207994,2
ADH1C,0.081233252,2
COL5A1,0.08124023,19
FAM124B,0.081251371,2
ABCA1,0.081263072,19
KIAA1967,0.081339949,5
SLC38A6,0.081506325,2
WNT4,0.081614716,2
AHR,0.081667344,7
DEFB125,0.081776071,2
WHSC1L1,0.081791451,6
ARHGAP19,0.081794778,11
CXCL12,0.081821862,3
EFCAB3,0.081825269,3
FBXW4,0.081826016,4
PGAM1,0.081826487,2
HAVCR2,0.081866875,5
PRKAG3,0.081867443,5
TRMT1,0.081885961,7
FREM1,0.081920946,15
RXFP2,0.081935593,6
BPIFB1,0.082000729,17
SLC2A6,0.082021897,5
PIH1D1,0.082111539,3
OR6C2,0.082336074,2
ZNF577,0.082362686,5
WDR78,0.082414549,13
HIVEP2,0.082451573,9
TMC8,0.082454321,6
ZPBP,0.082477584,2
IDH3B,0.082617917,4
MUS81,0.082700357,3
PRKG1,0.082747885,7
SDF4,0.082768682,7
CENPB,0.082798519,2
CBR1,0.082849814,3
SRP19,0.082858391,2
CAMTA1,0.08295635,17
IFNE,0.082959036,3
MIR31HG,0.082959036,3
APOBEC3G,0.083012441,4
LZTS2,0.083055956,6
PCDHB15,0.083286956,2
AZI1,0.083461431,21
CAPN7,0.083462289,3
TMEM99,0.083577763,4
ASH1L,0.083588723,13
PGAM2,0.083635915,5
CNTN4-AS1,0.083733047,2
OSGIN2,0.083738231,2
RNF214,0.083771763,2
VEGFC,0.083838723,3
GLRX2,0.083844185,3
ZNF510,0.083884495,11
ZNF397,0.083899716,4
CROCC,0.084018456,11
ZMYM4,0.08402001,5
KIF19,0.08407492,9
LAMB3,0.084265906,28
GSG2,0.084338,6
NQO2,0.084356902,3
C4orf47,0.084387213,2
COX16,0.084498892,2
WISP3,0.084594432,4
CCDC54,0.084602317,3
NLRP6,0.084624714,6
SCNM1,0.084794891,4
BIN3,0.084812249,2
PRKD1,0.084884878,5
CCNJ,0.084917274,2
ATP6V1B2,0.08497912,2
WDR52,0.085090934,11
ADAM23,0.085183672,4
SDC3,0.085191469,4
ZBTB6,0.085203352,2
C8A,0.085230792,5
ADCK4,0.085344488,3
NFE2L1,0.085377959,6
EML5,0.085412773,6
TMPRSS5,0.085449941,4
TMEM18,0.085487621,3
ZNF485,0.085520056,2
TLCD2,0.085543256,2
KCNQ1-AS1,0.085592866,3
PLXDC2,0.085620757,3
DNMBP-AS1,0.085789832,6
C9orf156,0.085846316,6
SIK1,0.085966671,7
C1orf177,0.085998252,7
FAM174B,0.086017788,2
CSAD,0.086174868,11
MGAT4A,0.086191787,7
MKI67IP,0.086374948,4
C5orf15,0.086388016,2
GSN,0.086459581,10
ADAD2,0.086499462,4
CD164,0.086638017,4
ACHE,0.086708893,5
CXCR7,0.086788723,3
MAP4,0.086832002,9
MYL2,0.086847995,2
UGDH-AS1,0.086917371,2
PAQR6,0.08693593,3
AP3B2,0.08698767,7
DISP1,0.087097127,10
NAF1,0.087194647,2
SIAE,0.087393545,11
PTPLAD2,0.087407312,2
OLFM2,0.08742386,3
CAST,0.087602681,18
BPHL,0.087720729,6
FBXL4,0.08789486,9
DROSHA,0.087916235,4
FRMD5,0.087995929,4
OPRL1,0.088060253,5
MYO1A,0.088067313,16
NPTXR,0.088165783,3
AP1AR,0.088181868,3
CCDC30,0.088413416,3
KIAA0319,0.088485557,16
MEIOB,0.088640952,2
MS4A15,0.088647594,4
DYRK1A,0.088687507,3
SLC7A1,0.088737407,3
FAM118A,0.088750416,3
GAL3ST3,0.088852203,4
TAGAP,0.088933355,5
PI4KA,0.089002483,11
IER5,0.089212879,2
NECAP1,0.089214029,10
PLEKHH3,0.089220234,3
CCDC164,0.089262082,22
ZNF101,0.089370684,3
CDCA5,0.089572525,2
GPAA1,0.089853368,7
CTCFL,0.089933889,6
FOXN3,0.090015052,3
ZC3HAV1,0.090129341,7
CTSZ,0.090141961,4
ORM1,0.09018045,2
MBD3L1,0.090193608,2
FAM188B,0.090326731,13
KIAA2026,0.090348944,24
SLC4A10,0.090405659,5
PSAT1,0.090464771,3
FAM83D,0.090483038,5
IPO5,0.090656024,5
BRI3,0.090862236,5
C15orf26,0.090873261,2
PCDHB8,0.090878481,3
ATP8B4,0.090880725,15
UXS1,0.090893201,2
SORBS2,0.091297521,6
MVK,0.091370469,4
GK2,0.09147222,7
TSACC,0.091611915,2
TMEM37,0.091643783,3
SLC9A3,0.091794921,9
ERP29,0.091921472,2
CHST10,0.092037914,8
LRP1B,0.092039547,21
CLRN3,0.092159173,4
C19orf38,0.092284206,2
BOD1L1,0.092342709,25
MANBA,0.092362173,7
SLC44A1,0.092380588,6
ADAMTS6,0.092436745,5
ANKDD1A,0.092509939,11
ESPL1,0.092541338,18
C7orf63,0.092705176,9
GNAI3,0.092757525,3
VCAN-AS1,0.092865959,20
ESYT2,0.092901736,6
OR6C4,0.093073467,8
TMOD2,0.093265492,2
OR2S2,0.093526599,5
KRT84,0.093607965,9
SOHLH1,0.093683614,7
OR5AS1,0.094036951,4
SH2D6,0.094076259,3
SLC45A1,0.094128653,9
CLDN20,0.094143845,4
TRAT1,0.094182216,9
ARL13B,0.094342715,6
ARHGAP24,0.094344921,9
HOXA9,0.094388303,5
KLHL30,0.0946209,5
ADCK2,0.094677694,5
IL1RN,0.094746479,3
C12orf50,0.09474679,8
TSEN34,0.094782722,2
SIX4,0.094851396,4
AK3,0.094895029,2
METTL24,0.094912014,2
NMU,0.0950297,4
TOM1,0.095088388,4
GP2,0.095136099,6
CHGA,0.095159482,2
AVPI1,0.095205642,2
OXNAD1,0.095364159,8
SLC2A3,0.095465832,2
STX6,0.095496502,3
DOCK5,0.095558028,12
LRRC4C,0.095561213,3
ZNF248,0.095561256,5
POMT1,0.09587462,12
DGKE,0.095902129,3
GCSAML,0.09591376,8
PAH,0.095931858,11
COPE,0.095986803,3
SRPR,0.096021136,7
TAAR2,0.096145647,8
IKBKE,0.09634982,9
DNAAF1,0.096363611,12
PLTP,0.09639765,6
TTLL13,0.096420013,9
BCL7A,0.096454844,2
MBTPS1,0.096505888,9
STK36,0.09664998,17
EPHX3,0.096739436,3
TMEM123,0.096846532,2
KIAA0430,0.096866936,8
PYHIN1,0.096895898,7
OR9Q1,0.097049127,11
DIXDC1,0.097051315,7
KATNAL2,0.097096026,11
TMEM120B,0.097106664,5
ZNF200,0.097142152,6
OR4Q3,0.097193506,2
GAS2L3,0.097252211,9
ZBTB7B,0.097305684,3
C3orf45,0.097370174,4
POLK,0.097397307,8
LRSAM1,0.09776354,13
PCNXL3,0.097868223,11
ENTPD4,0.098017555,12
STYK1,0.098095456,5
ZC2HC1C,0.098117248,3
OR4N4,0.0981803,4
IFITM5,0.098238232,3
KIAA1755,0.098273129,16
MESDC2,0.09829741,3
LUC7L3,0.098633285,2
BCHE,0.098746164,3
PYROXD1,0.098795828,2
MRPL32,0.098854761,4
DNAH1,0.098862379,34
ANTXR2,0.098896527,4
ZNF354B,0.099050091,5
SCARF1,0.09915919,9
DHX57,0.099268646,14
LAT2,0.099279132,4
SP1,0.099352134,5
APOBR,0.099355703,11
ERI2,0.099475798,13
TRPM3,0.099490673,12
OR1L6,0.099599819,4
NMNAT3,0.099729075,4
ADAMTS9-AS2,0.099895308,3
MRPL33,0.099953363,3
RBKS,0.099953363,3
TOMM22,0.100115914,2
CTSB,0.100359081,10
ARNT2,0.100365189,3
MYO18A,0.100381863,13
FLT1,0.100431558,2
AP1G2,0.100438992,13
FAM20C,0.100496747,3
PPYR1,0.100527033,13
PYGL,0.100551626,10
MLK7-AS1,0.100598497,9
PLCD1,0.100671564,7
DIP2A,0.100766774,17
ABTB1,0.100769172,3
SIGLEC7,0.100787089,5
ZNF234,0.100799317,3
LRRC25,0.101028221,3
OPN3,0.101397818,13
UTP23,0.101437851,2
SRSF8,0.101565968,2
CT62,0.101606059,2
ZNF830,0.10168176,2
GOLPH3,0.101706864,3
PPP1R35,0.101766278,2
C19orf54,0.101842819,2
AGXT,0.101866357,5
P2RX6,0.102067106,5
TSSC4,0.102101081,6
EDF1,0.102164631,2
HEATR7B2,0.102170675,18
NAA35,0.102200797,4
PRKCSH,0.102202376,8
DLEC1,0.102262822,32
PODXL2,0.102403495,7
SMAD6,0.102428119,2
TAS2R3,0.102729169,4
KIAA1430,0.102735202,5
PCP2,0.102751618,3
GHSR,0.102943131,3
HGSNAT,0.102943862,5
IL17RA,0.102963475,9
HNRNPM,0.103106287,2
METAP2,0.103154102,2
TRIM68,0.103206282,4
FER,0.103226627,5
ZC3H18,0.103367765,4
KLHDC9,0.103379864,3
BICD1,0.103657822,5
MMRN1,0.10385723,9
RERG,0.103900311,2
PKM,0.103918579,3
OSCP1,0.103922806,5
TCP1,0.103988611,2
STRAP,0.104096304,3
MDM4,0.104120085,4
TMX1,0.104188485,2
CD248,0.104308343,3
CDC37L1,0.104461389,2
RGS9,0.104485688,5
SSPO,0.104499899,73
PANK2,0.104641371,3
DSE,0.104712688,7
EPS15L1,0.104827414,2
FSIP2,0.104885291,14
C6orf195,0.104929077,2
ACSS2,0.104957705,7
SAAL1,0.104961841,5
KIF21A,0.104970212,6
ANAPC16,0.105097706,2
IRS2,0.105191271,2
C16orf48,0.105241125,5
RNASE10,0.105323063,2
CCT7,0.105338398,2
TTC19,0.105419242,3
SP3,0.105545167,2
TRAK2,0.105940255,5
RASEF,0.106016721,6
PLAC8L1,0.106314652,6
SUPV3L1,0.106492767,4
USH1G,0.106672859,2
CLEC1A,0.106784498,2
TMBIM6,0.106922601,3
SGOL1-AS1,0.106945502,5
SERPINB11,0.106964828,9
SGOL1,0.107121177,6
CD247,0.107170107,3
SREBF2,0.107298639,11
KCNRG,0.107459485,3
TRIM13,0.107459485,3
ELMO3,0.107534223,6
OLFML2B,0.107536296,7
SORCS3,0.107604124,9
KCNJ1,0.107618094,3
MKS1,0.107636617,9
MAPK9,0.107674023,5
SLC25A28,0.107887924,2
FKBP7,0.108020807,3
ZNF404,0.108036288,4
SPTB,0.108166472,42
C9orf173,0.108342266,7
NUP35,0.108990192,3
FAM159A,0.10900625,3
MARS,0.109111759,14
DYNC1H1,0.109156026,11
NOTO,0.109195884,2
SPC25,0.109208311,11
SMARCC2,0.109269918,6
RAPGEF2,0.10932407,6
C9orf66,0.109443264,4
ZBTB5,0.109451561,2
ADCY6,0.109547729,8
PIGN,0.109581571,5
SCYL2,0.109718209,3
SLC12A8,0.109783263,10
ZNF205,0.109862965,2
FIGLA,0.109914443,3
SLC5A8,0.109951675,9
MLC1,0.109970151,7
MLYCD,0.11005315,5
SRGAP2,0.110160455,5
XRCC1,0.110294857,5
ZNF334,0.11043218,6
OR10W1,0.110467659,2
RPUSD3,0.110510514,3
CHRDL2,0.110590716,7
GJB3,0.110710541,4
CHAD,0.110738032,5
CALN1,0.110811668,3
SLC25A20,0.110893219,2
GFPT2,0.110959565,4
EPHX1,0.111124969,7
MMD2,0.111233039,2
CPA4,0.111242215,3
DEPTOR,0.111244042,3
MYCBP2,0.111274728,15
C4BPA,0.111323852,5
ST6GALNAC6,0.111505053,3
TRIM22,0.111573084,12
IQGAP2,0.111685865,12
HOXA4,0.111774391,3
PRR14,0.111910559,9
SLC39A11,0.112027558,3
STRN4,0.112031253,6
ZCCHC6,0.112067526,6
ANKS3,0.112088585,6
CHRNB1,0.112179284,2
C19orf53,0.112265754,2
MRPS36,0.11231734,2
LRRC8E,0.112338382,8
ECM1,0.112359334,6
NT5E,0.112415681,5
UGT1A9,0.112416383,24
BIRC2,0.1124168,3
PSAP,0.112431146,5
IL17C,0.112539999,5
LDLR,0.112576765,11
C19orf35,0.11264526,2
MLXIPL,0.112658787,4
OPTC,0.11266224,7
DZIP1L,0.112742784,8
GNA15,0.112844536,4
BST2,0.112873207,4
C3orf77,0.112907986,5
STK3,0.113000799,3
ERP27,0.113006682,4
ZNF648,0.113169439,5
PRMT2,0.113184357,2
KRT26,0.113185466,6
TMEM247,0.113256739,3
EMP2,0.113353822,9
PYROXD2,0.113486247,5
TIMM22,0.113524479,2
WBP4,0.113582686,2
BSX,0.113599738,2
PRR14L,0.11364205,11
RPGRIP1,0.113676523,7
MICALCL,0.113690228,5
RFESD,0.113691679,4
CYTIP,0.113711059,3
MRPS18C,0.113719524,2
IL11RA,0.113759999,4
NPLOC4,0.113779277,7
INHBC,0.113885135,2
ANAPC5,0.113903224,3
PCGF3,0.114021699,2
SIGLEC12,0.114053504,4
C14orf159,0.114097257,12
SCNN1A,0.114109328,9
GUCA1C,0.114119799,2
PVRL3,0.114163194,6
SCARB2,0.114207344,10
TDRD3,0.114238481,4
ZNF792,0.114341979,8
PODN,0.114420413,6
PDE4B,0.114444153,2
RAB19,0.114467495,2
ZBTB20,0.114550062,2
CENPJ,0.114582219,25
GUCA2A,0.114611383,2
ZNF8,0.114623266,7
CST8,0.114701775,8
CNPPD1,0.114798306,2
MED8,0.114801755,5
MRRF,0.114866116,3
TRPV1,0.115163258,13
CFH,0.115171357,14
C1orf100,0.115249871,4
GCC1,0.115330706,7
FAM3D,0.115413347,2
COL4A2-AS1,0.115480375,3
SPTBN1,0.115558751,6
PPP3CC,0.115623229,5
RNASE3,0.115693731,3
KLHL25,0.115732435,7
FMNL1,0.115746246,5
MLF1,0.11576321,2
GJA10,0.115845558,5
STK32A,0.115928547,3
SLC5A12,0.115965761,7
TF,0.116068411,6
ALG12,0.116070556,6
CEP120,0.116225226,8
NR2E3,0.116275736,8
CCDC68,0.116431967,3
HK1,0.116435475,2
MDM1,0.116491025,9
ZHX1-C8ORF76,0.116585663,8
KRT75,0.116615615,11
C15orf39,0.1166556,9
FAM198B,0.116787261,7
SLC25A39,0.116881673,2
OR5AR1,0.117039459,3
PRUNE2,0.117051917,28
PRSS53,0.117064903,5
RSL1D1,0.117094022,4
LYRM1,0.117227003,4
USO1,0.117292193,9
TFIP11,0.117334319,3
SUSD5,0.11748399,5
GABRR1,0.117533839,3
LRRC29,0.1175395,3
CPSF7,0.11765472,3
CAPN1,0.117691952,7
TSG101,0.117907744,4
MAPKAP1,0.117933405,3
WFIKKN1,0.117991073,2
TLN2,0.118043296,26
C14orf37,0.118142552,13
AGPAT5,0.118222146,5
C16orf59,0.118327252,3
MSMP,0.118493616,4
UNK,0.118531094,2
DUSP5,0.118578949,6
GPI,0.11858255,3
MYO3B,0.118696107,13
SUGP2,0.118704514,11
NFATC3,0.118779197,8
CCDC33,0.118809534,15
MARCH7,0.118884799,3
RNF216,0.118922372,7
TIMM17A,0.119171316,3
PACS1,0.11923537,5
BRIP1,0.119251265,8
IK,0.119404501,2
DLGAP4,0.119451509,10
CACNA1I,0.119472171,5
PKP3,0.119482436,9
GTF2E1,0.119627104,2
CPNE9,0.119724887,2
TFR2,0.119896768,12
KIAA1984,0.120004061,10
ATP5J2-PTCD1,0.120035844,14
PTCD1,0.120035844,14
KRT85,0.120062317,8
ANGPTL3,0.120104523,4
TSPEAR,0.120158034,32
TMEM43,0.120228815,9
MCCC2,0.120448467,7
MICALL2,0.120476387,17
CKAP4,0.120601824,6
ZNF167,0.120612501,3
PRIMA1,0.120788735,2
HHIP-AS1,0.120880944,3
PIGP,0.121107391,4
KCNA4,0.12115562,4
RTTN,0.121227924,14
EVC2,0.121334673,21
ANTXR1,0.121355059,5
PLA2R1,0.121696594,24
CLRN1,0.121713265,5
CLRN1-AS1,0.121713265,5
C8orf74,0.121748356,4
CBS,0.121806168,9
YARS,0.121934059,2
PLXNA1,0.121981135,8
PRDM9,0.122134709,5
ZBED2,0.122162673,2
PTCHD3,0.122167011,10
EXT2,0.122177136,12
ASB15,0.122269213,9
MGMT,0.122312367,6
CCDC74A,0.122515029,2
NEK4,0.122524268,14
CEP350,0.122611807,25
RPL13A,0.122646837,3
EIF3H,0.122713057,2
ATP1A2,0.12278663,5
PMPCB,0.122825209,10
SLC25A33,0.122908929,2
VAV3-AS1,0.123069351,2
SFXN2,0.123162211,3
EGFL7,0.123200885,2
EPC2,0.123232899,5
EIF2AK1,0.12324831,9
MAP4K3,0.123313127,3
COL23A1,0.123330558,5
TCF7L2,0.123341526,6
CCL19,0.123550406,2
SLC12A5,0.123591711,2
CTSL1,0.123652,2
OR10AG1,0.123717851,6
PLCH1,0.123848552,10
BPIFA2,0.123913913,8
PLA1A,0.123944593,8
KRT20,0.123958851,2
TRIP4,0.124053675,5
HAP1,0.124174207,2
MTMR2,0.124245993,3
ZNF432,0.124251566,7
GATAD2A,0.124289819,4
RNASEH2A,0.12430824,2
TMEM105,0.124436312,2
HSPA4L,0.124599095,6
UBTF,0.12466263,2
DLL1,0.124681195,6
WDR90,0.124850784,21
OR10Q1,0.12487536,2
COL18A1,0.125027958,23
EID3,0.12512553,3
URB2,0.12516506,13
ACADSB,0.125277754,7
ATP6V1D,0.125290688,3
SDHAF2,0.125318365,2
ASPA,0.125335255,5
C2orf78,0.125604705,5
RECQL4,0.12573751,26
DNAJB8,0.125743886,4
OR4D2,0.125797793,4
AGBL1,0.125997849,14
GBF1,0.126031875,10
CST5,0.126045354,5
CYLC2,0.126056517,8
LATS1,0.126357604,5
VN1R4,0.126393081,2
STXBP5L,0.12640082,4
ZNF140,0.126430665,3
ZNF764,0.126455409,4
AFAP1L2,0.126465525,13
PDS5A,0.126545513,2
EXOC6B,0.126556664,5
PATZ1,0.126681119,3
CLCN7,0.126787242,3
ESF1,0.12682081,7
GALNTL6,0.126833457,4
GTF2IRD1,0.126880278,4
NUP98,0.126895152,25
TCF3,0.126899843,10
PDK2,0.126908512,4
CCDC3,0.127175033,4
TRAPPC12,0.127218137,7
NDUFA10,0.127234439,2
RGS14,0.127290851,5
DRAXIN,0.127416506,2
AQP1,0.127535665,7
GALNT6,0.127650205,8
GPD2,0.127754949,7
RHOF,0.127842537,4
ADCYAP1R1,0.127897232,4
LEF1,0.127914852,6
IFNGR1,0.127975914,8
ALDH1A1,0.128012992,2
KLK11,0.128098752,7
TULP4,0.128102916,24
LRRC37A3,0.12826992,5
LENG9,0.128277721,6
SCN1A,0.128435867,9
DDO,0.128525851,6
REEP4,0.128559157,4
DCHS2,0.128574337,37
C2orf49,0.128684914,4
KCNJ2,0.128782952,3
PHLDB3,0.128829984,7
SLC1A5,0.129244882,6
CCRL1,0.12934312,2
ZNF749,0.12940116,8
HIVEP1,0.129419822,31
KDELC1,0.129454522,3
GAA,0.129494879,11
SUGP1,0.129594307,2
CCNO,0.129620413,2
SERPINA4,0.129711084,6
CES2,0.129765474,7
SRRM1,0.129802319,4
NUBPL,0.129883185,3
ZCCHC7,0.129930723,5
GALNT14,0.13005871,5
TIRAP,0.130066107,8
OR6B3,0.130130872,5
NECAB2,0.130169501,6
DVL1,0.130313668,9
RNF17,0.13036174,9
FAM111B,0.13047929,7
OR2AK2,0.130508145,4
NLRC4,0.130557181,7
DEAF1,0.130580942,7
GPATCH3,0.130585952,7
P4HTM,0.130661364,3
ORAOV1,0.13076522,2
VWA3B,0.130783498,11
CEACAM7,0.130795783,2
PGM1,0.130829074,7
SNX25,0.131747351,5
ZNF543,0.132012392,6
HDGFL1,0.132151026,2
PLA2G4E,0.132201903,12
USP49,0.132285058,7
ZNF718,0.132365347,2
FAM92B,0.132366523,2
SNX33,0.132541274,2
SLC38A11,0.1325437,2
SCLT1,0.132602989,8
SERPINB9,0.132724461,7
SLAMF8,0.132909582,10
ZNF138,0.132931468,2
ZNF512B,0.133034246,14
VIT,0.133059387,8
BCAN,0.133061358,8
MTFR1,0.133080812,4
ASTL,0.133081556,3
PRPF18,0.133099256,2
ATIC,0.133158365,7
CDHR4,0.133291078,3
CCDC146,0.133476883,13
TMEM184C,0.133496807,10
SNAI3,0.133535502,4
CNTN2,0.133622535,13
PTDSS1,0.133625165,2
KCNU1,0.133686278,11
IQGAP3,0.13369663,17
CDC7,0.133715675,3
SENP1,0.133774431,3
PVRL2,0.133774835,4
ZNF616,0.133832958,7
TMEM231,0.133842668,2
CNDP1,0.133848209,3
GPR39,0.133907387,3
LYPD1,0.133907387,3
OR1L4,0.13393294,2
ZNF354A,0.133988762,8
OR2A12,0.134036742,2
GSTZ1,0.134072527,2
GXYLT1,0.134256133,2
ZNF704,0.134278903,3
HEMGN,0.134437253,5
CCDC102A,0.134474115,4
SLC2A4,0.134516428,2
ZNF37A,0.134605147,2
SAMD7,0.134661552,5
KRT79,0.134721134,11
P4HB,0.134732366,6
RPS6KA5,0.134774589,4
OAS3,0.134833488,15
DHRS7,0.13518109,3
MYH13,0.135445959,13
CHERP,0.135533872,2
GRPEL2,0.1356136,2
TMEM141,0.135667329,3
MXD3,0.135869784,3
THYN1,0.135944832,2
ABCA9,0.135950892,12
CILP2,0.135958047,6
IRF2,0.135992502,2
TMEM129,0.136089686,2
GPR68,0.136136617,3
SLC41A2,0.136248966,2
RUSC2,0.136388761,12
OLAH,0.136410512,5
MCM7,0.136435025,9
PDZK1IP1,0.136515948,2
CD68,0.136544862,2
LSP1,0.137354055,7
NLRP13,0.137590711,9
ARHGAP9,0.137678035,6
CNR1,0.137678118,2
ASAH2,0.137678658,2
ANAPC2,0.137747666,6
GLT6D1,0.137796229,4
AIMP2,0.137924994,4
ECHDC1,0.138008909,3
SRRT,0.138147901,5
NRIP1,0.138159992,16
SLC6A4,0.13824816,5
PTGS1,0.138267968,5
GDPGP1,0.138308112,8
ST7,0.138345944,3
MLL3,0.13848366,24
DGCR8,0.139003177,5
ZNF224,0.139053621,7
TBX18,0.139071459,5
ICT1,0.139193169,4
APOA4,0.139205361,5
BCR,0.139417272,6
REP15,0.139429795,2
SIK3,0.139681704,7
MRPL35,0.139682429,2
SNIP1,0.139690088,5
ROS1,0.139692137,33
CRIM1,0.139705093,7
FAM83G,0.139725201,8
CRYBB3,0.139773213,8
GFOD2,0.139870819,6
USP21,0.139957518,3
CHML,0.139991566,7
SF3B3,0.140100744,3
IGDCC3,0.140140739,13
NUP85,0.140164126,7
DGKH,0.140304403,7
CCT2,0.140325196,2
FAM73B,0.140349795,3
C22orf24,0.140360377,3
C4orf34,0.140403666,3
INMT-FAM188B,0.140485433,22
TMEM132D,0.140688046,4
CFTR,0.140786657,31
TGFBRAP1,0.140810557,6
C21orf58,0.140826807,5
RABGAP1L,0.140918202,8
OR4A5,0.141018433,5
FSTL5,0.141180234,7
HOXA2,0.141291888,5
SLC35E3,0.14144948,5
ASTN2,0.141482797,18
THUMPD3,0.141627392,7
DCAF15,0.141631379,2
RGS6,0.141671943,2
INTS4,0.141962489,5
C2orf16,0.14215369,12
LYVE1,0.142235691,6
SIRT7,0.14224201,3
HAS1,0.142253346,2
AP5B1,0.142507751,5
CSN1S1,0.142536645,2
NAIF1,0.142684306,2
GLG1,0.142709008,2
TMEM98,0.142770892,2
USP31,0.142961589,9
PTRH1,0.143032159,11
SLC13A2,0.143081625,5
FAM171A1,0.143082737,8
PRSS35,0.143109541,4
NTS,0.143117405,3
ZNF498,0.143171159,4
DOK2,0.143176977,5
FAM49A,0.143245063,2
FGB,0.143263821,6
BAG1,0.14329004,2
C10orf99,0.14329409,2
SYN2,0.143370239,2
SGSM3,0.14346045,9
C9orf72,0.143537344,2
LRRC31,0.143642041,8
BIRC8,0.143646754,3
LRRC41,0.143701428,10
CHMP3,0.144032508,7
DGAT1,0.14406737,2
CASD1,0.144100413,7
CFHR5,0.144127029,5
NMRAL1,0.144174557,3
ARRB2,0.144179191,2
CKAP2,0.144196454,5
TRAP1,0.144248138,26
USHBP1,0.144252814,12
IPO4,0.144333379,10
ZNF451,0.144446073,2
ANK1,0.144514016,24
PRODH2,0.144514296,3
THAP7,0.144646905,2
VPS13D,0.144731442,33
NUGGC,0.144763116,10
ELN,0.14477397,16
CACNB3,0.144798143,3
OR10H5,0.144856282,3
SMPD1,0.144873934,8
INPP1,0.145196892,2
ARV1,0.145315747,3
SUN1,0.145352709,11
PLD2,0.145359941,12
NR1D1,0.145401123,2
LCN9,0.145507295,2
ARHGEF39,0.145516453,9
SPATS2L,0.145582682,4
SYDE1,0.145634157,2
CUBN,0.145816992,52
C1orf63,0.146038469,2
TP53BP1,0.146066652,7
AJAP1,0.146079055,6
MATN2,0.146133329,13
ZDHHC6,0.146182918,2
SFXN3,0.146195867,2
CHST14,0.146377974,2
GLIPR1,0.146404162,4
CRYGB,0.146558757,2
ILK,0.146573652,4
TAF10,0.146573652,4
MYBPH,0.146613637,7
SKIL,0.146676448,3
EVC,0.146749038,14
COL15A1,0.146761794,23
STXBP4,0.146769905,2
FAM214A,0.146883278,10
TTBK1,0.146951564,5
CYP27C1,0.1469613,2
AURKAIP1,0.146968488,2
FOXK2,0.146988119,9
GCNT1,0.147030029,4
PRIM2,0.147041271,4
IL4R,0.147051395,12
SLC22A9,0.147091793,12
ALS2CR8,0.147236613,4
CCDC94,0.147276892,3
TINAG,0.14730524,8
BAI3,0.147381285,5
D2HGDH,0.147578804,3
S100A4,0.147609778,4
RELL1,0.147737117,3
TIE1,0.147796132,15
CTSH,0.147870022,4
MAEL,0.147950865,3
PRMT7,0.148353097,3
HGD,0.148412423,5
TOP2A,0.148593515,7
IRGQ,0.148705779,3
HIBCH,0.14879485,3
KPRP,0.148841631,8
TAF1L,0.148953128,13
ACIN1,0.149065874,9
ASB13,0.149175302,6
RPL3L,0.149191871,12
SDE2,0.149224862,3
CMBL,0.149335669,6
C11orf94,0.149343929,5
TACR2,0.149562654,7
SLC5A10,0.149699102,9
LRCH3,0.149932382,4
TP53TG5,0.150011288,6
EEA1,0.150284585,8
SCGB1D1,0.150352119,4
RAMP3,0.150620293,5
SLC12A7,0.150664626,14
ZFP112,0.150753493,6
SNX5,0.150878928,3
GOPC,0.150886612,25
POLQ,0.150918745,28
MARK3,0.150943418,4
LRP11,0.150952932,3
SDK2,0.151044402,16
CMA1,0.151101097,7
ITGA11,0.151255067,17
ODF3B,0.151389767,3
TAX1BP1,0.151402293,5
YEATS2,0.151534965,14
DEPDC1,0.151556163,2
ANKRD12,0.151652406,14
ST7L,0.151749413,7
MKL1,0.151810568,14
SNUPN,0.151864657,7
RBBP6,0.151907557,14
RFX6,0.151961508,5
SCO2,0.151966024,5
PPIL2,0.152028991,2
C3orf18,0.152047292,2
NKX2-8,0.152064917,2
HNRNPAB,0.152249455,2
CAMK2D,0.152380915,2
KDELR2,0.152459162,5
TNR,0.152517092,20
AMZ2,0.152594745,2
IL11,0.152620165,2
AQP9,0.152745556,2
ISG20,0.152871001,2
FAM75D1,0.152914421,8
FGR,0.15312254,2
